Constabulary,Crime type,Longitude,Latitude,Count
Cleveland Police,Anti-social behaviour,-1.3588,54.4971,1
Cleveland Police,Anti-social behaviour,-1.3588,54.5185,5
Cleveland Police,Anti-social behaviour,-1.3588,54.5218,1
Cleveland Police,Anti-social behaviour,-1.3588,54.5664,2
Cleveland Police,Anti-social behaviour,-1.3588,54.5872,3
Cleveland Police,Anti-social behaviour,-1.3587,54.5153,1
Cleveland Police,Anti-social behaviour,-1.3587,54.5835,2
Cleveland Police,Anti-social behaviour,-1.3585,54.4976,3
Cleveland Police,Anti-social behaviour,-1.3584,54.5555,1
Cleveland Police,Anti-social behaviour,-1.3583,54.5842,2
Cleveland Police,Anti-social behaviour,-1.3582,54.5648,3
Cleveland Police,Anti-social behaviour,-1.358,54.5701,1
Cleveland Police,Anti-social behaviour,-1.358,54.573,1
Cleveland Police,Anti-social behaviour,-1.3579,54.4999,6
Cleveland Police,Anti-social behaviour,-1.3579,54.5165,1
Cleveland Police,Anti-social behaviour,-1.3579,54.5827,6
Cleveland Police,Anti-social behaviour,-1.3578,54.5645,5
Cleveland Police,Anti-social behaviour,-1.3577,54.5212,2
Cleveland Police,Anti-social behaviour,-1.3576,54.5858,5
Cleveland Police,Anti-social behaviour,-1.3575,54.5095,2
Cleveland Police,Anti-social behaviour,-1.3574,54.5845,5
Cleveland Police,Anti-social behaviour,-1.3571,54.5196,4
Cleveland Police,Anti-social behaviour,-1.357,54.4934,4
Cleveland Police,Anti-social behaviour,-1.357,54.5555,3
Cleveland Police,Anti-social behaviour,-1.357,54.5811,4
Cleveland Police,Anti-social behaviour,-1.3569,54.4999,3
Cleveland Police,Anti-social behaviour,-1.3569,54.501,4
Cleveland Police,Anti-social behaviour,-1.3569,54.5135,2
Cleveland Police,Anti-social behaviour,-1.3569,54.5917,4
Cleveland Police,Anti-social behaviour,-1.3567,54.522,1
Cleveland Police,Anti-social behaviour,-1.3567,54.5296,2
Cleveland Police,Anti-social behaviour,-1.3567,54.5714,3
Cleveland Police,Anti-social behaviour,-1.3567,54.5878,4
Cleveland Police,Anti-social behaviour,-1.3567,54.5884,1
Cleveland Police,Anti-social behaviour,-1.3566,54.5807,1
Cleveland Police,Anti-social behaviour,-1.3565,54.5266,1
Cleveland Police,Anti-social behaviour,-1.3563,54.5758,2
Cleveland Police,Anti-social behaviour,-1.3562,54.4954,1
Cleveland Police,Anti-social behaviour,-1.3562,54.5108,3
Cleveland Police,Anti-social behaviour,-1.3562,54.5252,1
Cleveland Police,Anti-social behaviour,-1.356,54.5116,9
Cleveland Police,Anti-social behaviour,-1.3559,54.5818,22
Cleveland Police,Anti-social behaviour,-1.3558,54.509,1
Cleveland Police,Anti-social behaviour,-1.3558,54.5698,1
Cleveland Police,Anti-social behaviour,-1.3558,54.5825,1
Cleveland Police,Anti-social behaviour,-1.3557,54.5074,1
Cleveland Police,Anti-social behaviour,-1.3557,54.5726,4
Cleveland Police,Anti-social behaviour,-1.3557,54.5748,1
Cleveland Police,Anti-social behaviour,-1.3557,54.5778,1
Cleveland Police,Anti-social behaviour,-1.3557,54.5803,5
Cleveland Police,Anti-social behaviour,-1.3555,54.5865,1
Cleveland Police,Anti-social behaviour,-1.3553,54.4978,3
Cleveland Police,Anti-social behaviour,-1.3551,54.4913,1
Cleveland Police,Anti-social behaviour,-1.3551,54.5881,1
Cleveland Police,Anti-social behaviour,-1.355,54.5004,12
Cleveland Police,Anti-social behaviour,-1.3548,54.5581,1
Cleveland Police,Anti-social behaviour,-1.3548,54.5768,2
Cleveland Police,Anti-social behaviour,-1.3546,54.4987,2
Cleveland Police,Anti-social behaviour,-1.3545,54.5103,10
Cleveland Police,Anti-social behaviour,-1.3545,54.5653,2
Cleveland Police,Anti-social behaviour,-1.3545,54.5719,1
Cleveland Police,Anti-social behaviour,-1.3544,54.5552,2
Cleveland Police,Anti-social behaviour,-1.3544,54.5772,1
Cleveland Police,Anti-social behaviour,-1.3543,54.494,1
Cleveland Police,Anti-social behaviour,-1.3543,54.5627,3
Cleveland Police,Anti-social behaviour,-1.3542,54.5573,1
Cleveland Police,Anti-social behaviour,-1.3542,54.5859,1
Cleveland Police,Anti-social behaviour,-1.3542,54.589,2
Cleveland Police,Anti-social behaviour,-1.3541,54.5084,18
