Constabulary,Crime type,Longitude,Latitude,Count
Hampshire Constabulary,Anti-social behaviour,-1.7581,50.8371,1
Hampshire Constabulary,Anti-social behaviour,-1.7556,50.9151,1
Hampshire Constabulary,Anti-social behaviour,-1.7513,50.9429,1
Hampshire Constabulary,Anti-social behaviour,-1.7447,50.7768,1
Hampshire Constabulary,Anti-social behaviour,-1.744,50.8646,3
Hampshire Constabulary,Anti-social behaviour,-1.7439,50.8638,1
Hampshire Constabulary,Anti-social behaviour,-1.7423,50.782,1
Hampshire Constabulary,Anti-social behaviour,-1.7415,50.8493,1
Hampshire Constabulary,Anti-social behaviour,-1.7412,50.7768,1
Hampshire Constabulary,Anti-social behaviour,-1.7392,50.7774,1
Hampshire Constabulary,Anti-social behaviour,-1.7387,50.7827,1
Hampshire Constabulary,Anti-social behaviour,-1.7384,50.7833,1
Hampshire Constabulary,Anti-social behaviour,-1.7357,50.7815,1
Hampshire Constabulary,Anti-social behaviour,-1.7354,50.796,1
Hampshire Constabulary,Anti-social behaviour,-1.7289,50.785,2
Hampshire Constabulary,Anti-social behaviour,-1.7269,50.9481,1
Hampshire Constabulary,Anti-social behaviour,-1.7222,50.9003,1
Hampshire Constabulary,Anti-social behaviour,-1.7209,50.7956,1
Hampshire Constabulary,Anti-social behaviour,-1.7201,50.7722,1
Hampshire Constabulary,Anti-social behaviour,-1.7175,50.7983,2
Hampshire Constabulary,Anti-social behaviour,-1.7163,50.7991,1
Hampshire Constabulary,Anti-social behaviour,-1.7147,50.7526,1
Hampshire Constabulary,Anti-social behaviour,-1.7138,50.7524,1
Hampshire Constabulary,Anti-social behaviour,-1.7074,50.8212,2
Hampshire Constabulary,Anti-social behaviour,-1.6833,50.7408,1
Hampshire Constabulary,Anti-social behaviour,-1.6831,50.8256,1
Hampshire Constabulary,Anti-social behaviour,-1.6794,50.8403,1
Hampshire Constabulary,Anti-social behaviour,-1.6735,50.7432,1
Hampshire Constabulary,Anti-social behaviour,-1.6726,50.7541,1
Hampshire Constabulary,Anti-social behaviour,-1.6723,50.7562,1
