Constabulary,Crime type,Longitude,Latitude,Count
South Wales Police,Anti-social behaviour,-4.0428,51.5825,3
South Wales Police,Anti-social behaviour,-4.0428,51.6471,1
South Wales Police,Anti-social behaviour,-4.0427,51.6276,1
South Wales Police,Anti-social behaviour,-4.0427,51.678,1
South Wales Police,Anti-social behaviour,-4.0426,51.5801,1
South Wales Police,Anti-social behaviour,-4.0425,51.6652,1
South Wales Police,Anti-social behaviour,-4.0425,51.672,2
South Wales Police,Anti-social behaviour,-4.0425,51.6754,2
South Wales Police,Anti-social behaviour,-4.0425,51.7114,4
South Wales Police,Anti-social behaviour,-4.0425,51.717,1
South Wales Police,Anti-social behaviour,-4.0423,51.6705,2
South Wales Police,Anti-social behaviour,-4.0422,51.6461,3
South Wales Police,Anti-social behaviour,-4.0421,51.712,2
South Wales Police,Anti-social behaviour,-4.042,51.6682,2
South Wales Police,Anti-social behaviour,-4.0419,51.578,2
South Wales Police,Anti-social behaviour,-4.0419,51.6455,6
South Wales Police,Anti-social behaviour,-4.0418,51.6469,1
South Wales Police,Anti-social behaviour,-4.0417,51.646,1
South Wales Police,Anti-social behaviour,-4.0417,51.6684,1
South Wales Police,Anti-social behaviour,-4.0416,51.6691,13
South Wales Police,Anti-social behaviour,-4.0414,51.6432,1
South Wales Police,Anti-social behaviour,-4.0414,51.7125,2
South Wales Police,Anti-social behaviour,-4.0413,51.6775,9
South Wales Police,Anti-social behaviour,-4.0411,51.6442,8
South Wales Police,Anti-social behaviour,-4.0409,51.6426,1
South Wales Police,Anti-social behaviour,-4.0407,51.6679,3
South Wales Police,Anti-social behaviour,-4.0407,51.7156,1
South Wales Police,Anti-social behaviour,-4.0406,51.6636,1
South Wales Police,Anti-social behaviour,-4.0405,51.6796,1
South Wales Police,Anti-social behaviour,-4.0405,51.7197,1
South Wales Police,Anti-social behaviour,-4.0404,51.649,1
South Wales Police,Anti-social behaviour,-4.0403,51.6693,2
South Wales Police,Anti-social behaviour,-4.0402,51.6476,4
South Wales Police,Anti-social behaviour,-4.0397,51.6129,1
South Wales Police,Anti-social behaviour,-4.0395,51.7139,2
South Wales Police,Anti-social behaviour,-4.0394,51.7119,2
South Wales Police,Anti-social behaviour,-4.0392,51.6685,1
South Wales Police,Anti-social behaviour,-4.0392,51.6744,5
South Wales Police,Anti-social behaviour,-4.039,51.6691,4
South Wales Police,Anti-social behaviour,-4.0389,51.6618,6
South Wales Police,Anti-social behaviour,-4.0387,51.6243,2
South Wales Police,Anti-social behaviour,-4.0386,51.6481,5
South Wales Police,Anti-social behaviour,-4.0385,51.7131,3
South Wales Police,Anti-social behaviour,-4.0383,51.6696,1
South Wales Police,Anti-social behaviour,-4.0382,51.6517,1
South Wales Police,Anti-social behaviour,-4.0382,51.7107,1
South Wales Police,Anti-social behaviour,-4.0381,51.5846,3
South Wales Police,Anti-social behaviour,-4.038,51.7114,1
South Wales Police,Anti-social behaviour,-4.038,51.7153,2
South Wales Police,Anti-social behaviour,-4.0377,51.611,1
South Wales Police,Anti-social behaviour,-4.0376,51.6872,2
South Wales Police,Anti-social behaviour,-4.0375,51.6652,1
South Wales Police,Anti-social behaviour,-4.0372,51.7138,4
South Wales Police,Anti-social behaviour,-4.0371,51.6901,2
South Wales Police,Anti-social behaviour,-4.037,51.6518,2
South Wales Police,Anti-social behaviour,-4.0367,51.671,1
South Wales Police,Anti-social behaviour,-4.0366,51.6871,1
South Wales Police,Anti-social behaviour,-4.0366,51.7158,3
South Wales Police,Anti-social behaviour,-4.0363,51.644,2
